country_code,country_name,region,colonial_history,width,height,aspect_ratio,hex_colors,color_percentages,unique_colors,most_common_color,has_red,has_blue,has_green,has_yellow,has_white,has_black,has_orange,has_purple,horizontal_symmetry,vertical_symmetry,horizontal_stripes,vertical_stripes,cross,saltire,canton,circle,star,crescent,triangle,emblem,aspect_ratio_category,horizontal_symmetry_level,vertical_symmetry_level,complexity_score
id,Indonesia,Asia,Dutch,600,400,1.5,"['#ff0000', '#ffffff', '#ff1414', '#ffebeb']","[0.48333333333333334, 0.48333333333333334, 0.016666666666666666, 0.016666666666666666]",2,red,True,False,False,False,True,False,False,False,0.6980392156862745,1.0,True,False,False,False,True,False,False,False,False,False,2:3,Low,High,3
ie,Ireland,Europe,British,600,300,2.0,"['#fefeff', '#fe8100', '#009943', '#ffd5a9', '#a9ddc0']","[0.32, 0.33, 0.33, 0.01, 0.01]",4,green,True,False,True,True,True,False,False,False,1.0,0.4745098039215686,False,True,True,False,True,False,False,False,False,False,1:2,High,Low,6
il,Israel,Middle East,British,600,436,1.3761467889908257,"['#0036b7', '#fefefe', '#91aae0', '#1b4dbf', '#e9eef9']","[0.29133333333333333, 0.5771666666666667, 0.049666666666666665, 0.042666666666666665, 0.03916666666666667]",2,blue,False,True,False,False,True,False,False,False,0.9873875697067818,0.9985152305570546,True,True,False,False,False,False,True,False,True,False,Other,High,High,5
in,India,Asia,British,600,400,1.5,"['#b0b1d9', '#128807', '#fe9933', '#fcfdfc', '#32329e']","[0.024, 0.3333333333333333, 0.3333333333333333, 0.28933333333333333, 0.02]",4,blue,False,True,True,True,True,False,True,False,0.770967385620915,0.9937920261437908,True,True,True,False,False,True,True,False,False,True,2:3,Medium,High,10
iq,Iraq,Middle East,British,600,400,1.5,"['#fdfcfc', '#010101', '#ce1126', '#268d58', '#b7d9c8']","[0.2956666666666667, 0.3333333333333333, 0.3333333333333333, 0.0235, 0.014166666666666666]",4,green,True,False,True,False,True,True,False,False,0.7817548366013072,0.9853430718954248,True,False,True,False,True,False,True,False,False,False,2:3,Medium,High,7
ir,Iran,Middle East,None,600,342,1.7543859649122806,"['#fefefe', '#da0202', '#259f41', '#ec7c7c', '#91ce9f']","[0.31716666666666665, 0.2826666666666667, 0.2843333333333333, 0.06683333333333333, 0.049]",3,red,True,False,True,False,True,False,False,False,0.8613707908114513,0.9812665214233842,True,False,True,False,True,False,True,False,True,True,Other,High,High,7
is,is,Unknown,Unknown,600,432,1.3888888888888888,"['#003086', '#f0a8b9', '#d50232', '#fcfafb', '#a9b9d7']","[0.644, 0.030666666666666665, 0.172, 0.12533333333333332, 0.028]",4,blue,True,True,False,True,True,False,False,False,1.0,0.8799477124183006,True,True,True,False,False,False,False,False,False,False,Other,High,High,7
it,Italy,Europe,None,600,400,1.5,"['#fffeff', '#cc2029', '#008b44', '#eeb4b6', '#a9d8bf']","[0.32, 0.33, 0.33, 0.01, 0.01]",4,green,True,False,True,True,True,False,False,False,1.0,0.9869281045751634,False,True,True,False,True,False,False,False,False,False,2:3,High,High,6
jm,jm,Unknown,Unknown,600,300,2.0,"['#feb81b', '#2d2925', '#007748', '#c59e22', '#73792c']","[0.311, 0.32266666666666666, 0.32266666666666666, 0.022333333333333334, 0.021333333333333333]",3,yellow,False,False,True,True,False,True,False,False,0.9999776906318083,0.9946544662309368,False,False,False,False,False,False,False,False,False,False,1:2,High,High,3
jo,jo,Unknown,Unknown,600,300,2.0,"['#010000', '#fcfcfc', '#cc1126', '#017a3d', '#e37d88']","[0.2771666666666667, 0.19566666666666666, 0.24433333333333335, 0.2771666666666667, 0.005666666666666667]",4,red,True,False,True,False,True,True,False,False,0.6113861873638344,0.7717966448801743,True,True,True,False,True,False,False,False,False,False,1:2,Low,Medium,7
jp,Japan,Asia,None,600,400,1.5,"['#fefefe', '#bb002c', '#e9acba', '#d35b77', '#c42147']","[0.8053333333333333, 0.17733333333333334, 0.006, 0.004666666666666667, 0.006666666666666667]",3,red,True,False,False,True,True,False,False,False,0.997278202614379,0.9983614052287582,True,True,True,False,True,True,True,False,False,False,2:3,High,High,8
